City,Lat,Lng,max temp,humidity,cloudiness,wind speed,Country,date
Butaritari,3.0707,172.7902,80.55,73,17,4.59,KI,1667877805
Ushuaia,-54.8,-68.3,55.02,54,20,5.75,AR,1667877530
Zapolyarnyy,69.4154,30.8136,27.68,94,86,3.51,RU,1667878365
Chokurdakh,70.6333,147.9167,-10.89,98,70,11.07,RU,1667878366
Albany,42.6001,-73.9662,48.63,58,4,10.4,US,1667877656
Rikitea,-23.1203,-134.9692,73.81,92,100,16.02,PF,1667877807
Quatre Cocos,-20.2078,57.7625,77.09,74,75,11.43,MU,1667877897
Kasempa,-13.4584,25.8338,60.98,96,98,3.62,ZM,1667878367
Coos Bay,43.3665,-124.2179,43.93,94,100,11.5,US,1667878368
Upernavik,72.7868,-56.1549,5.7,88,80,6.55,GL,1667877857
Busselton,-33.65,115.3333,68.36,55,90,6.6,AU,1667877877
Dwārka,22.2394,68.9678,80.73,52,0,6.67,IN,1667878369
Poum,-20.2333,164.0167,77.83,81,99,18.7,NC,1667878369
Sarankhola,22.3082,89.7897,80.64,60,1,3.33,BD,1667878370
Qaanaaq,77.484,-69.3632,-0.49,98,100,4.07,GL,1667877812
Hobart,-42.8794,147.3294,82.22,52,0,5.75,AU,1667877733
San Cristobal,7.7669,-72.225,66.38,95,100,2.37,VE,1667878055
Hithadhoo,-0.6,73.0833,82.65,75,22,17.65,MV,1667877855
Alexandria,31.2156,29.9553,66.74,62,21,14.54,EG,1667878275
Bambous Virieux,-20.3428,57.7575,77.22,73,40,8.05,MU,1667877898
Waitati,-45.75,170.5667,64.51,58,91,8.46,NZ,1667878372
Cape Town,-33.9258,18.4232,57.9,90,0,4.61,ZA,1667877748
Kirby,29.4633,-98.3856,75.81,80,0,9.22,US,1667878373
Mataura,-46.1927,168.8643,65.48,43,85,3.24,NZ,1667877814
Norman Wells,65.282,-126.8329,1.44,85,20,9.22,CA,1667877868
George Town,5.4112,100.3354,87.73,74,20,5.75,MY,1667877638
Bethel,41.3712,-73.414,55.76,46,0,6.91,US,1667877861
Lerwick,60.1545,-1.1494,53.6,96,100,25.14,GB,1667877849
Aksu,41.1231,80.2644,50.25,31,79,3.27,CN,1667878375
Ovalle,-30.5983,-71.2003,60.39,76,95,2.68,CL,1667878352
Lata,40.1629,-8.3327,59.92,90,100,7.05,PT,1667878068
Bourail,-21.5667,165.4833,75.6,84,99,13.71,NC,1667878376
Bluff,-46.6,168.3333,65.8,75,62,12.88,NZ,1667877864
Saint-Philippe,-21.3585,55.7679,76.59,77,14,7.45,RE,1667877811
Lumeje,-11.55,20.7833,64.72,97,100,2.89,AO,1667878376
Nieuw Amsterdam,5.8833,-55.0833,75.36,94,100,4.34,SR,1667878377
